feature,mean_abs_shap
TransactionAmt,0.26141219449211145
C13,0.25482064777099545
V70,0.20338929294327487
C14,0.17694267931780447
card6,0.14591776369540302
card1,0.145786442645714
card2,0.14517178842026485
TransactionDT,0.1316752262682628
D1,0.11549419031528535
C1,0.11411707543633418
D4,0.10008160870191542
D15,0.09619247094168332
card5,0.09591357751496028
P_emaildomain,0.0953730072328021
M6,0.09401564086550954
M5,0.09023456780262225
C11,0.08026221401580384
V258,0.07847105782174019
V48,0.07575010787129254
M4,0.07517266766190232
