feature,feature_value,shap_value,absolute_shap
V258,13.0,1.7967673491096146,1.7967673491096146
C1,20.0,1.2332803409969573,1.2332803409969573
V45,8.0,0.769340314329032,0.769340314329032
C13,2.0,0.5800899399186082,0.5800899399186082
V189,5.0,0.36428461197170137,0.36428461197170137
C12,15.0,0.34887908265088147,0.34887908265088147
V201,8.0,0.3380058296775094,0.3380058296775094
C14,2.0,0.29303570930513734,0.29303570930513734
C11,15.0,0.2560701003272744,0.2560701003272744
V257,12.0,0.2164702912312201,0.2164702912312201
card6,1.0,0.19624017123907034,0.19624017123907034
D14,24.0,-0.1941308736952347,0.1941308736952347
V44,8.0,0.15914006094550964,0.15914006094550964
V70,0.0,0.15392564837641007,0.15392564837641007
V187,4.0,0.14587173115933547,0.14587173115933547
card3,185.0,0.12538166040536708,0.12538166040536708
V217,13.0,-0.12108963924742157,0.12108963924742157
id_17,225.0,0.11554844722817802,0.11554844722817802
id_20,325.0,-0.11453368531944026,0.11453368531944026
card1,16062.0,-0.11113747223481124,0.11113747223481124
P_emaildomain,16.0,0.1105811303772285,0.1105811303772285
V52,3.0,0.097143653865463,0.097143653865463
D10,0.0,0.08849900552398197,0.08849900552398197
D2,97.0,0.08583521900261636,0.08583521900261636
DeviceInfo,497.0,-0.08454327442729853,0.08454327442729853
C6,8.0,0.08211454475254923,0.08211454475254923
R_emaildomain,16.0,0.08103553558118894,0.08103553558118894
D1,0.0,0.08054966323861182,0.08054966323861182
C8,25.0,0.07840198251093647,0.07840198251093647
card2,500.0,0.07619925378790489,0.07619925378790489
V48,0.0,0.07403849814691824,0.07403849814691824
M5,2.0,0.07317620946573784,0.07317620946573784
id_02,393252.0,-0.07158519481695397,0.07158519481695397
V87,3.0,0.07125636868375092,0.07125636868375092
TransactionDT,7053397.0,0.0625966795510211,0.0625966795510211
V91,0.0,0.06071794728179689,0.06071794728179689
id_01,-30.0,0.057951221991359124,0.057951221991359124
D15,0.0,0.057684717002822954,0.057684717002822954
V133,98.96800231933594,0.052048826722623676,0.052048826722623676
D3,8.0,0.05204789372401779,0.05204789372401779
V128,98.96800231933594,0.04845144245014732,0.04845144245014732
V130,0.0,0.04778443755685133,0.04778443755685133
V23,3.0,0.04476787971864048,0.04476787971864048
D4,0.0,0.04462569413678412,0.04462569413678412
V274,791.0794067382812,-0.04362896199376594,0.04362896199376594
V230,5.0,-0.042958827044428355,0.042958827044428355
TransactionAmt,49.484,-0.04295168856748366,0.04295168856748366
C10,10.0,0.042752343088203755,0.042752343088203755
V244,6.0,0.042230764482446066,0.042230764482446066
C5,0.0,0.04195084089855974,0.04195084089855974
addr1,299.0,0.041685527112824076,0.041685527112824076
DeviceType,2.0,0.04104916442282906,0.04104916442282906
V221,1.0,-0.040879952334108606,0.040879952334108606
V29,0.0,0.039241241691314856,0.039241241691314856
D8,0.625,0.03818437122261984,0.03818437122261984
V225,1.0,0.03716962373569621,0.03716962373569621
card5,137.0,-0.03468005038559925,0.03468005038559925
V38,3.0,0.03426868410383238,0.03426868410383238
V232,17.0,0.03383984444223216,0.03383984444223216
V200,8.0,0.033435259053562504,0.033435259053562504
D11,43.0,0.03280500184455522,0.03280500184455522
M7,2.0,0.03160515671411843,0.03160515671411843
V24,3.0,-0.031195268164807347,0.031195268164807347
V270,22.47620010375977,-0.03009782354669729,0.03009782354669729
id_38,0.0,-0.027750456519955495,0.027750456519955495
V268,27.55150032043457,-0.02615716750066211,0.02615716750066211
V222,6.0,-0.025393676355934224,0.025393676355934224
V207,0.0,0.024234154239020343,0.024234154239020343
ProductCD,0.0,0.023374154355058678,0.023374154355058678
V101,2.0,-0.023166169862790797,0.023166169862790797
V63,1.0,-0.02310478815847733,0.02310478815847733
M6,2.0,-0.02175497828309044,0.02175497828309044
id_31,48.0,0.02126901303401105,0.02126901303401105
V242,5.0,0.0212086228757093,0.0212086228757093
V271,50.0276985168457,-0.020870645444680522,0.020870645444680522
id_30,74.0,0.020868386007255626,0.020868386007255626
C2,31.0,0.020795346116156996,0.020795346116156996
id_14,-300.0,0.02003031931322542,0.02003031931322542
V266,0.0,0.019912808236552938,0.019912808236552938
V170,10.0,-0.019711107599875453,0.019711107599875453
V102,2.0,0.018224132454064405,0.018224132454064405
M4,2.0,0.01780885132232103,0.01780885132232103
V47,3.0,0.017535673606914423,0.017535673606914423
V246,6.0,0.017378559689692718,0.017378559689692718
V294,0.0,-0.015473528363988534,0.015473528363988534
V233,13.0,-0.015097336843267618,0.015097336843267618
V192,2.0,0.015013482846077746,0.015013482846077746
V285,0.0,0.014543774484964274,0.014543774484964274
V165,0.0,0.014538989890684936,0.014538989890684936
V310,0.0,0.01420538567584109,0.01420538567584109
