feature,feature_value,shap_value,absolute_shap
C14,0.0,1.4687116890985548,1.4687116890985548
D8,86.83333587646484,-0.33245945759639656,0.33245945759639656
P_emaildomain,1.0,-0.33034457899455244,0.33034457899455244
TransactionDT,8799436.0,0.26060825691931677,0.26060825691931677
V70,0.0,0.25937725207620194,0.25937725207620194
C13,0.0,0.23954154210750964,0.23954154210750964
ProductCD,1.0,0.23479213582167255,0.23479213582167255
card2,583.0,-0.20944554958831021,0.20944554958831021
id_14,-420.0,-0.1700515433578416,0.1700515433578416
id_06,-13.0,0.15025207283612213,0.15025207283612213
addr1,194.0,-0.1370294636221546,0.1370294636221546
D1,0.0,0.13342232739995455,0.13342232739995455
C4,1.0,0.0969278566721273,0.0969278566721273
id_20,333.0,0.0899344161868456,0.0899344161868456
M6,2.0,-0.08886320295765184,0.08886320295765184
D4,26.0,0.08746774976114466,0.08746774976114466
C1,1.0,-0.08189925058308878,0.08189925058308878
C2,1.0,-0.07678341924252259,0.07678341924252259
TransactionAmt,100.0,0.07263607999324043,0.07263607999324043
DeviceInfo,1510.0,0.07170544717620836,0.07170544717620836
card1,1724.0,-0.06657217838929051,0.06657217838929051
C5,0.0,0.06307458338301666,0.06307458338301666
M4,3.0,-0.06195056468342654,0.06195056468342654
M5,2.0,0.06171397487308918,0.06171397487308918
card6,1.0,0.057072209689316936,0.057072209689316936
D3,8.0,0.05674254826831185,0.05674254826831185
R_emaildomain,19.0,0.046521517043761555,0.046521517043761555
V258,1.0,-0.04324474415692998,0.04324474415692998
id_17,166.0,-0.042458841491280895,0.042458841491280895
id_30,42.0,-0.041451851383022605,0.041451851383022605
C11,1.0,-0.038343975545917376,0.038343975545917376
D11,43.0,0.036673949177722286,0.036673949177722286
V48,0.0,0.03623350799696588,0.03623350799696588
C6,1.0,-0.03534692859484859,0.03534692859484859
D2,97.0,0.03314255420700282,0.03314255420700282
id_34,3.0,-0.03222056507198374,0.03222056507198374
D15,52.0,0.030282193672374086,0.030282193672374086
id_05,1.0,0.027932764043781793,0.027932764043781793
card5,226.0,0.027349031797171866,0.027349031797171866
id_31,76.0,0.02640143022939645,0.02640143022939645
id_38,1.0,0.022236313308369206,0.022236313308369206
V29,0.0,0.02107084244983617,0.02107084244983617
id_15,0.0,-0.02042523829177039,0.02042523829177039
V53,1.0,0.019896154862917608,0.019896154862917608
V312,0.0,-0.016655427419305337,0.016655427419305337
id_13,52.0,0.015417675989281685,0.015417675989281685
